Year,LOBBYIST_ID,EMPLOYER_ID,CLIENT_ID,LOBBYIST_SALUTATION,LOBBYIST_FIRST_NAME,LOBBYIST_MIDDLE_INITIAL,LOBBYIST_LAST_NAME,LOBBYIST_SUFFIX,EMPLOYER_NAME,CLIENT_NAME,Column A,CONTRIBUTION_ID,PERIOD_START,PERIOD_END,CONTRIBUTION_DATE,RECIPIENT,AMOUNT,LOBBYIST_ID,LOBBYIST_FIRST_NAME,LOBBYIST_LAST_NAME,CREATED_DATE,CONTRIBUTION_DATE3,recipient_surname,CLIENT.INDUSTRY,ORIGINAL.CLIENT.NAME
2015,27901,4281,24629,Mr.,James,J,Banks,,Law Offices of Samuel V.P.Banks,VALENTIN DARABAN C/O KEEPER DEVELOPMENT INC.,3821,11719,2015-01-01,2015-03-31,2015-03-30,Friends for Patrick D. Thompson,500.00,27901,James,Banks,2015-10-20,2015-03-30,Thompson,REAL ESTATE & CONSTRUCTION,VALENTIN DARABAN C/O KEEPER DEVELOPMENT INC.
2015,27901,4281,24629,Mr.,James,J,Banks,,Law Offices of Samuel V.P.Banks,VALENTIN DARABAN C/O KEEPER DEVELOPMENT INC.,3825,11716,2015-01-01,2015-03-31,2015-01-28,Citizens for Anthony Beal,250.00,27901,James,Banks,2015-10-20,2015-01-28,NA,REAL ESTATE & CONSTRUCTION,VALENTIN DARABAN C/O KEEPER DEVELOPMENT INC.
2015,27901,4281,24629,Mr.,James,J,Banks,,Law Offices of Samuel V.P.Banks,VALENTIN DARABAN C/O KEEPER DEVELOPMENT INC.,3835,11717,2015-01-01,2015-03-31,2015-02-10,Citizens for Garrido,200.00,27901,James,Banks,2015-10-20,2015-02-10,NA,REAL ESTATE & CONSTRUCTION,VALENTIN DARABAN C/O KEEPER DEVELOPMENT INC.
2015,27901,4281,24629,Mr.,James,J,Banks,,Law Offices of Samuel V.P.Banks,VALENTIN DARABAN C/O KEEPER DEVELOPMENT INC.,3843,11718,2015-01-01,2015-03-31,2015-02-19,Hopkins for Chicago,500.00,27901,James,Banks,2015-10-20,2015-02-19,Hopkins,REAL ESTATE & CONSTRUCTION,VALENTIN DARABAN C/O KEEPER DEVELOPMENT INC.
2015,22816,4281,24632,Mr.,James,J,Banks,,Law Offices of Samuel V.P.Banks,JEFFREY MICHAEL C/O HORIZON REALTY GROUP,4452,9236,2015-01-01,2015-03-31,2015-03-30,Friends for Patrick D. Thompson,500.00,22816,James,Banks,2015-04-20,2015-03-30,Thompson,REAL ESTATE & CONSTRUCTION,JEFFREY MICHAEL C/O HORIZON REALTY GROUP
2015,22816,4281,24632,Mr.,James,J,Banks,,Law Offices of Samuel V.P.Banks,JEFFREY MICHAEL C/O HORIZON REALTY GROUP,4521,9233,2015-01-01,2015-03-31,2015-01-28,Citizens for Anthony Beal,250.00,22816,James,Banks,2015-04-20,2015-01-28,NA,REAL ESTATE & CONSTRUCTION,JEFFREY MICHAEL C/O HORIZON REALTY GROUP
2015,22816,4281,24632,Mr.,James,J,Banks,,Law Offices of Samuel V.P.Banks,JEFFREY MICHAEL C/O HORIZON REALTY GROUP,4543,9235,2015-01-01,2015-03-31,2015-02-19,Hopkins for Chicago,500.00,22816,James,Banks,2015-04-20,2015-02-19,Hopkins,REAL ESTATE & CONSTRUCTION,JEFFREY MICHAEL C/O HORIZON REALTY GROUP
2015,22816,4281,24632,Mr.,James,J,Banks,,Law Offices of Samuel V.P.Banks,JEFFREY MICHAEL C/O HORIZON REALTY GROUP,4570,9234,2015-01-01,2015-03-31,2015-02-10,Citizens for Garrido,200.00,22816,James,Banks,2015-04-20,2015-02-10,NA,REAL ESTATE & CONSTRUCTION,JEFFREY MICHAEL C/O HORIZON REALTY GROUP
2016,36261,10279,32401,Ms.,Donna,J,Pugh,,Foley & Lardner LLP,JAMA 5501 LLC,5083,15562,2016-04-01,2016-06-30,2016-05-31,Alderman Raymond Lopez,250.00,36261,Donna,Pugh,2016-09-29,2016-05-31,Lopez,REAL ESTATE & CONSTRUCTION,JAMA 5501 LLC
2016,36261,10279,32401,Ms.,Donna,J,Pugh,,Foley & Lardner LLP,JAMA 5501 LLC,5084,15561,2016-04-01,2016-06-30,2016-05-16,Alderman Margaret Laurino,250.00,36261,Donna,Pugh,2016-09-29,2016-05-16,Laurino,REAL ESTATE & CONSTRUCTION,JAMA 5501 LLC
